open_time,SPY,EFA,EEM,VNQ,IEF,TLT,LQD,HYG,GLD,DBC,USO,UUP,FXE,FXY
2017-06-14 13:30:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-06-15 13:30:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-06-16 13:30:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-06-19 13:30:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-06-20 13:30:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-06-21 13:30:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-06-22 13:30:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-06-23 13:30:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-06-26 13:30:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-06-27 13:30:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-06-28 13:30:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-06-29 13:30:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-06-30 13:30:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-07-03 13:30:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-07-05 13:30:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-07-06 13:30:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-07-07 13:30:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-07-10 13:30:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-07-11 13:30:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-07-12 13:30:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-07-13 13:30:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-07-14 13:30:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-07-17 13:30:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-07-18 13:30:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-07-19 13:30:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-07-20 13:30:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-07-21 13:30:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-07-24 13:30:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-07-25 13:30:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-07-26 13:30:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-07-27 13:30:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-07-28 13:30:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-07-31 13:30:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-08-01 13:30:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-08-02 13:30:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-08-03 13:30:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-08-04 13:30:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-08-07 13:30:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-08-08 13:30:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-08-09 13:30:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-08-10 13:30:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-08-11 13:30:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-08-14 13:30:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-08-15 13:30:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-08-16 13:30:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-08-17 13:30:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-08-18 13:30:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-08-21 13:30:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-08-22 13:30:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-08-23 13:30:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-08-24 13:30:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-08-25 13:30:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-08-28 13:30:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-08-29 13:30:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-08-30 13:30:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-08-31 13:30:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-09-01 13:30:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-09-05 13:30:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-09-06 13:30:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-09-07 13:30:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-09-08 13:30:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-09-11 13:30:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-09-12 13:30:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-09-13 13:30:00+00:00,0.316148617412912,0.33693115799300066,0.2053900309615594,0.22857816901877928,0.21013380126841277,0.09076037802330972,0.6385660115857624,0.6222370097847966,0.08537056999375599,0.18817648708788384,-0.03155072199795405,-0.4064276984934662,0.3319676458826547,-0.3077617004957523
2017-09-14 13:30:00+00:00,0.316148617412912,0.33693115799300066,0.2053900309615594,0.22857816901877928,0.21013380126841277,0.09076037802330972,0.6385660115857624,0.6222370097847966,0.08537056999375599,0.18817648708788384,-0.03155072199795405,-0.4064276984934662,0.3319676458826547,-0.3077617004957523
2017-09-15 13:30:00+00:00,0.316148617412912,0.33693115799300066,0.2053900309615594,0.22857816901877928,0.21013380126841277,0.09076037802330972,0.6385660115857624,0.6222370097847966,0.08537056999375599,0.18817648708788384,-0.03155072199795405,-0.4064276984934662,0.3319676458826547,-0.3077617004957523
2017-09-18 13:30:00+00:00,0.316148617412912,0.33693115799300066,0.2053900309615594,0.22857816901877928,0.21013380126841277,0.09076037802330972,0.6385660115857624,0.6222370097847966,0.08537056999375599,0.18817648708788384,-0.03155072199795405,-0.4064276984934662,0.3319676458826547,-0.3077617004957523
2017-09-19 13:30:00+00:00,0.316148617412912,0.33693115799300066,0.2053900309615594,0.22857816901877928,0.21013380126841277,0.09076037802330972,0.6385660115857624,0.6222370097847966,0.08537056999375599,0.18817648708788384,-0.03155072199795405,-0.4064276984934662,0.3319676458826547,-0.3077617004957523
2017-09-20 13:30:00+00:00,0.316148617412912,0.33693115799300066,0.2053900309615594,0.22857816901877928,0.21013380126841277,0.09076037802330972,0.6385660115857624,0.6222370097847966,0.08537056999375599,0.18817648708788384,-0.03155072199795405,-0.4064276984934662,0.3319676458826547,-0.3077617004957523
2017-09-21 13:30:00+00:00,0.316148617412912,0.33693115799300066,0.2053900309615594,0.22857816901877928,0.21013380126841277,0.09076037802330972,0.6385660115857624,0.6222370097847966,0.08537056999375599,0.18817648708788384,-0.03155072199795405,-0.4064276984934662,0.3319676458826547,-0.3077617004957523
2017-09-22 13:30:00+00:00,0.316148617412912,0.33693115799300066,0.2053900309615594,0.22857816901877928,0.21013380126841277,0.09076037802330972,0.6385660115857624,0.6222370097847966,0.08537056999375599,0.18817648708788384,-0.03155072199795405,-0.4064276984934662,0.3319676458826547,-0.3077617004957523
2017-09-25 13:30:00+00:00,0.316148617412912,0.33693115799300066,0.2053900309615594,0.22857816901877928,0.21013380126841277,0.09076037802330972,0.6385660115857624,0.6222370097847966,0.08537056999375599,0.18817648708788384,-0.03155072199795405,-0.4064276984934662,0.3319676458826547,-0.3077617004957523
2017-09-26 13:30:00+00:00,0.316148617412912,0.33693115799300066,0.2053900309615594,0.22857816901877928,0.21013380126841277,0.09076037802330972,0.6385660115857624,0.6222370097847966,0.08537056999375599,0.18817648708788384,-0.03155072199795405,-0.4064276984934662,0.3319676458826547,-0.3077617004957523
2017-09-27 13:30:00+00:00,0.316148617412912,0.33693115799300066,0.2053900309615594,0.22857816901877928,0.21013380126841277,0.09076037802330972,0.6385660115857624,0.6222370097847966,0.08537056999375599,0.18817648708788384,-0.03155072199795405,-0.4064276984934662,0.3319676458826547,-0.3077617004957523
2017-09-28 13:30:00+00:00,0.316148617412912,0.33693115799300066,0.2053900309615594,0.22857816901877928,0.21013380126841277,0.09076037802330972,0.6385660115857624,0.6222370097847966,0.08537056999375599,0.18817648708788384,-0.03155072199795405,-0.4064276984934662,0.3319676458826547,-0.3077617004957523
2017-09-29 13:30:00+00:00,0.316148617412912,0.33693115799300066,0.2053900309615594,0.22857816901877928,0.21013380126841277,0.09076037802330972,0.6385660115857624,0.6222370097847966,0.08537056999375599,0.18817648708788384,-0.03155072199795405,-0.4064276984934662,0.3319676458826547,-0.3077617004957523
2017-10-02 13:30:00+00:00,0.316148617412912,0.33693115799300066,0.2053900309615594,0.22857816901877928,0.21013380126841277,0.09076037802330972,0.6385660115857624,0.6222370097847966,0.08537056999375599,0.18817648708788384,-0.03155072199795405,-0.4064276984934662,0.3319676458826547,-0.3077617004957523
2017-10-03 13:30:00+00:00,0.316148617412912,0.33693115799300066,0.2053900309615594,0.22857816901877928,0.21013380126841277,0.09076037802330972,0.6385660115857624,0.6222370097847966,0.08537056999375599,0.18817648708788384,-0.03155072199795405,-0.4064276984934662,0.3319676458826547,-0.3077617004957523
2017-10-04 13:30:00+00:00,0.316148617412912,0.33693115799300066,0.2053900309615594,0.22857816901877928,0.21013380126841277,0.09076037802330972,0.6385660115857624,0.6222370097847966,0.08537056999375599,0.18817648708788384,-0.03155072199795405,-0.4064276984934662,0.3319676458826547,-0.3077617004957523
2017-10-05 13:30:00+00:00,0.316148617412912,0.33693115799300066,0.2053900309615594,0.22857816901877928,0.21013380126841277,0.09076037802330972,0.6385660115857624,0.6222370097847966,0.08537056999375599,0.18817648708788384,-0.03155072199795405,-0.4064276984934662,0.3319676458826547,-0.3077617004957523
2017-10-06 13:30:00+00:00,0.316148617412912,0.33693115799300066,0.2053900309615594,0.22857816901877928,0.21013380126841277,0.09076037802330972,0.6385660115857624,0.6222370097847966,0.08537056999375599,0.18817648708788384,-0.03155072199795405,-0.4064276984934662,0.3319676458826547,-0.3077617004957523
2017-10-09 13:30:00+00:00,0.316148617412912,0.33693115799300066,0.2053900309615594,0.22857816901877928,0.21013380126841277,0.09076037802330972,0.6385660115857624,0.6222370097847966,0.08537056999375599,0.18817648708788384,-0.03155072199795405,-0.4064276984934662,0.3319676458826547,-0.3077617004957523
2017-10-10 13:30:00+00:00,0.316148617412912,0.33693115799300066,0.2053900309615594,0.22857816901877928,0.21013380126841277,0.09076037802330972,0.6385660115857624,0.6222370097847966,0.08537056999375599,0.18817648708788384,-0.03155072199795405,-0.4064276984934662,0.3319676458826547,-0.3077617004957523
2017-10-11 13:30:00+00:00,0.316148617412912,0.33693115799300066,0.2053900309615594,0.22857816901877928,0.21013380126841277,0.09076037802330972,0.6385660115857624,0.6222370097847966,0.08537056999375599,0.18817648708788384,-0.03155072199795405,-0.4064276984934662,0.3319676458826547,-0.3077617004957523
2017-10-12 13:30:00+00:00,0.40551895658918585,0.386259644617086,0.2399525418646784,0.30159291812943423,-0.2367225837720369,-0.1026205777951148,0.7425752582111227,0.8660158389564505,0.08936030414638843,0.21414356397688414,0.03612680483582634,-0.14351298151727201,0.12161751704070287,-0.11398050854781717
2017-10-13 13:30:00+00:00,0.40551895658918585,0.386259644617086,0.2399525418646784,0.30159291812943423,-0.2367225837720369,-0.1026205777951148,0.7425752582111227,0.8660158389564505,0.08936030414638843,0.21414356397688414,0.03612680483582634,-0.14351298151727201,0.12161751704070287,-0.11398050854781717
2017-10-16 13:30:00+00:00,0.40551895658918585,0.386259644617086,0.2399525418646784,0.30159291812943423,-0.2367225837720369,-0.1026205777951148,0.7425752582111227,0.8660158389564505,0.08936030414638843,0.21414356397688414,0.03612680483582634,-0.14351298151727201,0.12161751704070287,-0.11398050854781717
2017-10-17 13:30:00+00:00,0.40551895658918585,0.386259644617086,0.2399525418646784,0.30159291812943423,-0.2367225837720369,-0.1026205777951148,0.7425752582111227,0.8660158389564505,0.08936030414638843,0.21414356397688414,0.03612680483582634,-0.14351298151727201,0.12161751704070287,-0.11398050854781717
2017-10-18 13:30:00+00:00,0.40551895658918585,0.386259644617086,0.2399525418646784,0.30159291812943423,-0.2367225837720369,-0.1026205777951148,0.7425752582111227,0.8660158389564505,0.08936030414638843,0.21414356397688414,0.03612680483582634,-0.14351298151727201,0.12161751704070287,-0.11398050854781717
2017-10-19 13:30:00+00:00,0.40551895658918585,0.386259644617086,0.2399525418646784,0.30159291812943423,-0.2367225837720369,-0.1026205777951148,0.7425752582111227,0.8660158389564505,0.08936030414638843,0.21414356397688414,0.03612680483582634,-0.14351298151727201,0.12161751704070287,-0.11398050854781717
2017-10-20 13:30:00+00:00,0.40551895658918585,0.386259644617086,0.2399525418646784,0.30159291812943423,-0.2367225837720369,-0.1026205777951148,0.7425752582111227,0.8660158389564505,0.08936030414638843,0.21414356397688414,0.03612680483582634,-0.14351298151727201,0.12161751704070287,-0.11398050854781717
2017-10-23 13:30:00+00:00,0.40551895658918585,0.386259644617086,0.2399525418646784,0.30159291812943423,-0.2367225837720369,-0.1026205777951148,0.7425752582111227,0.8660158389564505,0.08936030414638843,0.21414356397688414,0.03612680483582634,-0.14351298151727201,0.12161751704070287,-0.11398050854781717
2017-10-24 13:30:00+00:00,0.40551895658918585,0.386259644617086,0.2399525418646784,0.30159291812943423,-0.2367225837720369,-0.1026205777951148,0.7425752582111227,0.8660158389564505,0.08936030414638843,0.21414356397688414,0.03612680483582634,-0.14351298151727201,0.12161751704070287,-0.11398050854781717
2017-10-25 13:30:00+00:00,0.40551895658918585,0.386259644617086,0.2399525418646784,0.30159291812943423,-0.2367225837720369,-0.1026205777951148,0.7425752582111227,0.8660158389564505,0.08936030414638843,0.21414356397688414,0.03612680483582634,-0.14351298151727201,0.12161751704070287,-0.11398050854781717
2017-10-26 13:30:00+00:00,0.40551895658918585,0.386259644617086,0.2399525418646784,0.30159291812943423,-0.2367225837720369,-0.1026205777951148,0.7425752582111227,0.8660158389564505,0.08936030414638843,0.21414356397688414,0.03612680483582634,-0.14351298151727201,0.12161751704070287,-0.11398050854781717
2017-10-27 13:30:00+00:00,0.40551895658918585,0.386259644617086,0.2399525418646784,0.30159291812943423,-0.2367225837720369,-0.1026205777951148,0.7425752582111227,0.8660158389564505,0.08936030414638843,0.21414356397688414,0.03612680483582634,-0.14351298151727201,0.12161751704070287,-0.11398050854781717
2017-10-30 13:30:00+00:00,0.40551895658918585,0.386259644617086,0.2399525418646784,0.30159291812943423,-0.2367225837720369,-0.1026205777951148,0.7425752582111227,0.8660158389564505,0.08936030414638843,0.21414356397688414,0.03612680483582634,-0.14351298151727201,0.12161751704070287,-0.11398050854781717
2017-10-31 13:30:00+00:00,0.40551895658918585,0.386259644617086,0.2399525418646784,0.30159291812943423,-0.2367225837720369,-0.1026205777951148,0.7425752582111227,0.8660158389564505,0.08936030414638843,0.21414356397688414,0.03612680483582634,-0.14351298151727201,0.12161751704070287,-0.11398050854781717
2017-11-01 13:30:00+00:00,0.40551895658918585,0.386259644617086,0.2399525418646784,0.30159291812943423,-0.2367225837720369,-0.1026205777951148,0.7425752582111227,0.8660158389564505,0.08936030414638843,0.21414356397688414,0.03612680483582634,-0.14351298151727201,0.12161751704070287,-0.11398050854781717
2017-11-02 13:30:00+00:00,0.40551895658918585,0.386259644617086,0.2399525418646784,0.30159291812943423,-0.2367225837720369,-0.1026205777951148,0.7425752582111227,0.8660158389564505,0.08936030414638843,0.21414356397688414,0.03612680483582634,-0.14351298151727201,0.12161751704070287,-0.11398050854781717
2017-11-03 13:30:00+00:00,0.40551895658918585,0.386259644617086,0.2399525418646784,0.30159291812943423,-0.2367225837720369,-0.1026205777951148,0.7425752582111227,0.8660158389564505,0.08936030414638843,0.21414356397688414,0.03612680483582634,-0.14351298151727201,0.12161751704070287,-0.11398050854781717
2017-11-06 14:30:00+00:00,0.40551895658918585,0.386259644617086,0.2399525418646784,0.30159291812943423,-0.2367225837720369,-0.1026205777951148,0.7425752582111227,0.8660158389564505,0.08936030414638843,0.21414356397688414,0.03612680483582634,-0.14351298151727201,0.12161751704070287,-0.11398050854781717
2017-11-07 14:30:00+00:00,0.40551895658918585,0.386259644617086,0.2399525418646784,0.30159291812943423,-0.2367225837720369,-0.1026205777951148,0.7425752582111227,0.8660158389564505,0.08936030414638843,0.21414356397688414,0.03612680483582634,-0.14351298151727201,0.12161751704070287,-0.11398050854781717
2017-11-08 14:30:00+00:00,0.40551895658918585,0.386259644617086,0.2399525418646784,0.30159291812943423,-0.2367225837720369,-0.1026205777951148,0.7425752582111227,0.8660158389564505,0.08936030414638843,0.21414356397688414,0.03612680483582634,-0.14351298151727201,0.12161751704070287,-0.11398050854781717
2017-11-09 14:30:00+00:00,0.40551895658918585,0.386259644617086,0.2399525418646784,0.30159291812943423,-0.2367225837720369,-0.1026205777951148,0.7425752582111227,0.8660158389564505,0.08936030414638843,0.21414356397688414,0.03612680483582634,-0.14351298151727201,0.12161751704070287,-0.11398050854781717
2017-11-10 14:30:00+00:00,0.4808312930958887,0.47923895649198284,0.26752788907169195,0.34374749667296817,0.2667305678037308,0.34687548317584493,0.2958283302568352,0.3409981942145856,-0.09931154780320044,0.2509607780044781,0.13107551235784584,0.16103461975112898,-0.13597378421028086,-0.39986554708953775
2017-11-13 14:30:00+00:00,0.4808312930958887,0.47923895649198284,0.26752788907169195,0.34374749667296817,0.2667305678037308,0.34687548317584493,0.2958283302568352,0.3409981942145856,-0.09931154780320044,0.2509607780044781,0.13107551235784584,0.16103461975112898,-0.13597378421028086,-0.39986554708953775
2017-11-14 14:30:00+00:00,0.4808312930958887,0.47923895649198284,0.26752788907169195,0.34374749667296817,0.2667305678037308,0.34687548317584493,0.2958283302568352,0.3409981942145856,-0.09931154780320044,0.2509607780044781,0.13107551235784584,0.16103461975112898,-0.13597378421028086,-0.39986554708953775
2017-11-15 14:30:00+00:00,0.4808312930958887,0.47923895649198284,0.26752788907169195,0.34374749667296817,0.2667305678037308,0.34687548317584493,0.2958283302568352,0.3409981942145856,-0.09931154780320044,0.2509607780044781,0.13107551235784584,0.16103461975112898,-0.13597378421028086,-0.39986554708953775
2017-11-16 14:30:00+00:00,0.4808312930958887,0.47923895649198284,0.26752788907169195,0.34374749667296817,0.2667305678037308,0.34687548317584493,0.2958283302568352,0.3409981942145856,-0.09931154780320044,0.2509607780044781,0.13107551235784584,0.16103461975112898,-0.13597378421028086,-0.39986554708953775
2017-11-17 14:30:00+00:00,0.4808312930958887,0.47923895649198284,0.26752788907169195,0.34374749667296817,0.2667305678037308,0.34687548317584493,0.2958283302568352,0.3409981942145856,-0.09931154780320044,0.2509607780044781,0.13107551235784584,0.16103461975112898,-0.13597378421028086,-0.39986554708953775
2017-11-20 14:30:00+00:00,0.4808312930958887,0.47923895649198284,0.26752788907169195,0.34374749667296817,0.2667305678037308,0.34687548317584493,0.2958283302568352,0.3409981942145856,-0.09931154780320044,0.2509607780044781,0.13107551235784584,0.16103461975112898,-0.13597378421028086,-0.39986554708953775
2017-11-21 14:30:00+00:00,0.4808312930958887,0.47923895649198284,0.26752788907169195,0.34374749667296817,0.2667305678037308,0.34687548317584493,0.2958283302568352,0.3409981942145856,-0.09931154780320044,0.2509607780044781,0.13107551235784584,0.16103461975112898,-0.13597378421028086,-0.39986554708953775
2017-11-22 14:30:00+00:00,0.4808312930958887,0.47923895649198284,0.26752788907169195,0.34374749667296817,0.2667305678037308,0.34687548317584493,0.2958283302568352,0.3409981942145856,-0.09931154780320044,0.2509607780044781,0.13107551235784584,0.16103461975112898,-0.13597378421028086,-0.39986554708953775
2017-11-24 14:30:00+00:00,0.4808312930958887,0.47923895649198284,0.26752788907169195,0.34374749667296817,0.2667305678037308,0.34687548317584493,0.2958283302568352,0.3409981942145856,-0.09931154780320044,0.2509607780044781,0.13107551235784584,0.16103461975112898,-0.13597378421028086,-0.39986554708953775
2017-11-27 14:30:00+00:00,0.4808312930958887,0.47923895649198284,0.26752788907169195,0.34374749667296817,0.2667305678037308,0.34687548317584493,0.2958283302568352,0.3409981942145856,-0.09931154780320044,0.2509607780044781,0.13107551235784584,0.16103461975112898,-0.13597378421028086,-0.39986554708953775
2017-11-28 14:30:00+00:00,0.4808312930958887,0.47923895649198284,0.26752788907169195,0.34374749667296817,0.2667305678037308,0.34687548317584493,0.2958283302568352,0.3409981942145856,-0.09931154780320044,0.2509607780044781,0.13107551235784584,0.16103461975112898,-0.13597378421028086,-0.39986554708953775
2017-11-29 14:30:00+00:00,0.4808312930958887,0.47923895649198284,0.26752788907169195,0.34374749667296817,0.2667305678037308,0.34687548317584493,0.2958283302568352,0.3409981942145856,-0.09931154780320044,0.2509607780044781,0.13107551235784584,0.16103461975112898,-0.13597378421028086,-0.39986554708953775
2017-11-30 14:30:00+00:00,0.4808312930958887,0.47923895649198284,0.26752788907169195,0.34374749667296817,0.2667305678037308,0.34687548317584493,0.2958283302568352,0.3409981942145856,-0.09931154780320044,0.2509607780044781,0.13107551235784584,0.16103461975112898,-0.13597378421028086,-0.39986554708953775
2017-12-01 14:30:00+00:00,0.4808312930958887,0.47923895649198284,0.26752788907169195,0.34374749667296817,0.2667305678037308,0.34687548317584493,0.2958283302568352,0.3409981942145856,-0.09931154780320044,0.2509607780044781,0.13107551235784584,0.16103461975112898,-0.13597378421028086,-0.39986554708953775
2017-12-04 14:30:00+00:00,0.4808312930958887,0.47923895649198284,0.26752788907169195,0.34374749667296817,0.2667305678037308,0.34687548317584493,0.2958283302568352,0.3409981942145856,-0.09931154780320044,0.2509607780044781,0.13107551235784584,0.16103461975112898,-0.13597378421028086,-0.39986554708953775
2017-12-05 14:30:00+00:00,0.4808312930958887,0.47923895649198284,0.26752788907169195,0.34374749667296817,0.2667305678037308,0.34687548317584493,0.2958283302568352,0.3409981942145856,-0.09931154780320044,0.2509607780044781,0.13107551235784584,0.16103461975112898,-0.13597378421028086,-0.39986554708953775
2017-12-06 14:30:00+00:00,0.4808312930958887,0.47923895649198284,0.26752788907169195,0.34374749667296817,0.2667305678037308,0.34687548317584493,0.2958283302568352,0.3409981942145856,-0.09931154780320044,0.2509607780044781,0.13107551235784584,0.16103461975112898,-0.13597378421028086,-0.39986554708953775
2017-12-07 14:30:00+00:00,0.4808312930958887,0.47923895649198284,0.26752788907169195,0.34374749667296817,0.2667305678037308,0.34687548317584493,0.2958283302568352,0.3409981942145856,-0.09931154780320044,0.2509607780044781,0.13107551235784584,0.16103461975112898,-0.13597378421028086,-0.39986554708953775
2017-12-08 14:30:00+00:00,0.4808312930958887,0.47923895649198284,0.26752788907169195,0.34374749667296817,0.2667305678037308,0.34687548317584493,0.2958283302568352,0.3409981942145856,-0.09931154780320044,0.2509607780044781,0.13107551235784584,0.16103461975112898,-0.13597378421028086,-0.39986554708953775
2017-12-11 14:30:00+00:00,0.4808312930958887,0.47923895649198284,0.26752788907169195,0.34374749667296817,0.2667305678037308,0.34687548317584493,0.2958283302568352,0.3409981942145856,-0.09931154780320044,0.2509607780044781,0.13107551235784584,0.16103461975112898,-0.13597378421028086,-0.39986554708953775
2017-12-12 14:30:00+00:00,0.49782448669972285,0.44418062107321254,0.06957769147704963,0.11522692094597163,-0.2622342379061683,0.2944682280473088,0.8026113488376053,0.8094649308919735,-0.0924673375645317,0.07581052862983644,0.12455258067607745,-0.15685730531391007,0.12718829873474916,-0.1275354832018833
